夏夏🦄中国/China🦄,#genre#
CCTV1综合,http://119.233.255.62:1234/608807420
CCTV1综合,http://wfenf.x3322.net:7788/608807420
CCTV2财经,http://119.233.255.62:1234/631780532
CCTV2财经,http://wfenf.x3322.net:7788/631780532
CCTV3综艺,http://119.233.255.62:1234/624878271
CCTV3综艺,http://wfenf.x3322.net:7788/624878271
CCTV4中文国际,http://119.233.255.62:1234/631780421
CCTV4中文国际,http://wfenf.x3322.net:7788/631780421
CCTV5体育,http://119.233.255.62:1234/641886683
CCTV5体育,http://wfenf.x3322.net:7788/641886683
CCTV5+体育赛事,http://119.233.255.62:1234/641886773
CCTV5+体育赛事,http://wfenf.x3322.net:7788/641886773
CCTV6电影,http://119.233.255.62:1234/624878396
CCTV6电影,http://wfenf.x3322.net:7788/624878396
CCTV7国防军事,http://119.233.255.62:1234/673168121
CCTV7国防军事,http://wfenf.x3322.net:7788/673168121
CCTV8电视剧,http://119.233.255.62:1234/624878356
CCTV8电视剧,http://wfenf.x3322.net:7788/624878356
CCTV9纪录,http://119.233.255.62:1234/673168140
CCTV9纪录,http://wfenf.x3322.net:7788/673168140
CCTV10科教,http://119.233.255.62:1234/624878405
CCTV10科教,http://wfenf.x3322.net:7788/624878405
CCTV11戏曲,http://119.233.255.62:1234/667987558
CCTV11戏曲,http://wfenf.x3322.net:7788/667987558
CCTV12社会与法,http://119.233.255.62:1234/673168185
CCTV12社会与法,http://wfenf.x3322.net:7788/673168185
CCTV13新闻,http://119.233.255.62:1234/608807423
CCTV13新闻,http://wfenf.x3322.net:7788/608807423
CCTV14少儿,http://119.233.255.62:1234/624878440
CCTV14少儿,http://wfenf.x3322.net:7788/624878440
CCTV15音乐,http://119.233.255.62:1234/673168223
CCTV15音乐,http://wfenf.x3322.net:7788/673168223
CCTV17农业农村,http://119.233.255.62:1234/673168256
CCTV17农业农村,http://wfenf.x3322.net:7788/673168256
CCTV4欧洲,http://119.233.255.62:1234/608807419
CCTV4欧洲,http://wfenf.x3322.net:7788/608807419
CCTV4美洲,http://119.233.255.62:1234/608807416
CCTV4美洲,http://wfenf.x3322.net:7788/608807416
CGTN外语纪录,http://119.233.255.62:1234/609006487
CGTN外语纪录,http://wfenf.x3322.net:7788/609006487
CGTN阿拉伯语,http://119.233.255.62:1234/609154345
CGTN阿拉伯语,http://wfenf.x3322.net:7788/609154345
CGTN西班牙语,http://119.233.255.62:1234/609006450
CGTN西班牙语,http://wfenf.x3322.net:7788/609006450
CGTN法语,http://119.233.255.62:1234/609006476
CGTN法语,http://wfenf.x3322.net:7788/609006476
CGTN俄语,http://119.233.255.62:1234/609006446
CGTN俄语,http://wfenf.x3322.net:7788/609006446
老故事,http://119.233.255.62:1234/884121956
老故事,http://wfenf.x3322.net:7788/884121956
发现之旅,http://119.233.255.62:1234/624878970
